users,R_mva,X_mva
1,0.2000,0.2703
2,0.2108,0.5390
3,0.2227,0.8059
4,0.2359,1.0707
5,0.2505,1.3332
6,0.2668,1.5929
7,0.2850,1.8494
8,0.3054,2.1023
9,0.3284,2.3508
10,0.3544,2.5944
11,0.3839,2.8322
12,0.4175,3.0632
13,0.4558,3.2864
14,0.4996,3.5004
15,0.5497,3.7040
16,0.6072,3.8956
17,0.6731,4.0737
18,0.7484,4.2369
19,0.8342,4.3838
20,0.9314,4.5133
21,1.0407,4.6248
22,1.1626,4.7184
23,1.2971,4.7945
24,1.4438,4.8545
25,1.6018,4.9002
26,1.7699,4.9337
27,1.9464,4.9574
28,2.1298,4.9735
29,2.3185,4.9841
30,2.5111,4.9907
31,2.7065,4.9948
32,2.9037,4.9971
33,3.1020,4.9985
34,3.3011,4.9992
35,3.5005,4.9996
36,3.7003,4.9998
37,3.9001,4.9999
38,4.1001,5.0000
39,4.3000,5.0000
40,4.5000,5.0000
41,4.7000,5.0000
42,4.9000,5.0000
43,5.1000,5.0000
44,5.3000,5.0000
45,5.5000,5.0000
46,5.7000,5.0000
47,5.9000,5.0000
48,6.1000,5.0000
49,6.3000,5.0000
50,6.5000,5.0000
51,6.7000,5.0000
52,6.9000,5.0000
53,7.1000,5.0000
54,7.3000,5.0000
55,7.5000,5.0000
56,7.7000,5.0000
57,7.9000,5.0000
58,8.1000,5.0000
59,8.3000,5.0000
60,8.5000,5.0000
61,8.7000,5.0000
62,8.9000,5.0000
63,9.1000,5.0000
64,9.3000,5.0000
65,9.5000,5.0000
66,9.7000,5.0000
67,9.9000,5.0000
68,10.1000,5.0000
69,10.3000,5.0000
70,10.5000,5.0000
71,10.7000,5.0000
72,10.9000,5.0000
73,11.1000,5.0000
74,11.3000,5.0000
75,11.5000,5.0000
76,11.7000,5.0000
77,11.9000,5.0000
78,12.1000,5.0000
79,12.3000,5.0000
80,12.5000,5.0000
81,12.7000,5.0000
82,12.9000,5.0000
83,13.1000,5.0000
84,13.3000,5.0000
85,13.5000,5.0000
86,13.7000,5.0000
87,13.9000,5.0000
88,14.1000,5.0000
89,14.3000,5.0000
90,14.5000,5.0000
91,14.7000,5.0000
92,14.9000,5.0000
93,15.1000,5.0000
94,15.3000,5.0000
95,15.5000,5.0000
96,15.7000,5.0000
97,15.9000,5.0000
98,16.1000,5.0000
99,16.3000,5.0000
100,16.5000,5.0000
