users,R_mva,X_mva
1,0.2100,0.2695
2,0.2219,0.5374
3,0.2350,0.8032
4,0.2496,1.0668
5,0.2659,1.3277
6,0.2841,1.5856
7,0.3046,1.8399
8,0.3277,2.0900
9,0.3538,2.3353
10,0.3835,2.5750
11,0.4174,2.8080
12,0.4561,3.0333
13,0.5005,3.2496
14,0.5516,3.4554
15,0.6102,3.6494
16,0.6777,3.8299
17,0.7550,3.9953
18,0.8435,4.1441
19,0.9441,4.2754
20,1.0576,4.3883
21,1.1846,4.4828
22,1.3252,4.5594
23,1.4788,4.6196
24,1.6446,4.6651
25,1.8212,4.6982
26,2.0068,4.7214
27,2.1998,4.7370
28,2.3983,4.7472
29,2.6008,4.7534
30,2.8062,4.7572
31,3.0135,4.7594
32,3.2219,4.7606
33,3.4310,4.7612
34,3.6405,4.7616
35,3.8502,4.7617
36,4.0601,4.7618
37,4.2701,4.7619
38,4.4800,4.7619
39,4.6900,4.7619
40,4.9000,4.7619
41,5.1100,4.7619
42,5.3200,4.7619
43,5.5300,4.7619
44,5.7400,4.7619
45,5.9500,4.7619
46,6.1600,4.7619
47,6.3700,4.7619
48,6.5800,4.7619
49,6.7900,4.7619
50,7.0000,4.7619
51,7.2100,4.7619
52,7.4200,4.7619
53,7.6300,4.7619
54,7.8400,4.7619
55,8.0500,4.7619
56,8.2600,4.7619
57,8.4700,4.7619
58,8.6800,4.7619
59,8.8900,4.7619
60,9.1000,4.7619
61,9.3100,4.7619
62,9.5200,4.7619
63,9.7300,4.7619
64,9.9400,4.7619
65,10.1500,4.7619
66,10.3600,4.7619
67,10.5700,4.7619
68,10.7800,4.7619
69,10.9900,4.7619
70,11.2000,4.7619
71,11.4100,4.7619
72,11.6200,4.7619
73,11.8300,4.7619
74,12.0400,4.7619
75,12.2500,4.7619
76,12.4600,4.7619
77,12.6700,4.7619
78,12.8800,4.7619
79,13.0900,4.7619
80,13.3000,4.7619
81,13.5100,4.7619
82,13.7200,4.7619
83,13.9300,4.7619
84,14.1400,4.7619
85,14.3500,4.7619
86,14.5600,4.7619
87,14.7700,4.7619
88,14.9800,4.7619
89,15.1900,4.7619
90,15.4000,4.7619
91,15.6100,4.7619
92,15.8200,4.7619
93,16.0300,4.7619
94,16.2400,4.7619
95,16.4500,4.7619
96,16.6600,4.7619
97,16.8700,4.7619
98,17.0800,4.7619
99,17.2900,4.7619
100,17.5000,4.7619
