threads,response,throughput,utilization
1,0.466017,1.2337,0.2482
11,0.658427,3.9946,0.799359
21,1.77394,4.8475,0.969263
31,3.05011,4.7431,0.948649
41,3.10877,4.7228,0.945314
51,3.10877,4.7228,0.945314
61,3.10877,4.7228,0.945314
71,3.10877,4.7228,0.945314
81,3.10877,4.7228,0.945314
91,3.10877,4.7228,0.945314
101,3.10877,4.7228,0.945314
111,3.10877,4.7228,0.945314
121,3.10877,4.7228,0.945314
131,3.10877,4.7228,0.945314
141,3.10877,4.7228,0.945314
151,3.10877,4.7228,0.945314
161,3.10877,4.7228,0.945314
171,3.10877,4.7228,0.945314
181,3.10877,4.7228,0.945314
191,3.10877,4.7228,0.945314
