users,mean_response,ci_low,ci_high,throughput,goodput,badput,drop,utilization
5,0.500665,0.498911,0.502419,1.1498,0.8632,0.2866,0,0.230237
10,0.512763,0.510223,0.515302,2.2873,1.7086,0.5787,0,0.458549
15,0.568531,0.56643,0.570632,3.3412,2.4468,0.8944,0,0.66869
20,0.717065,0.713629,0.720501,4.166,2.9181,1.2479,0,0.834436
25,1.00171,0.996874,1.00654,4.6002,3.042,1.5582,0,0.920951
30,1.35267,1.34764,1.3577,4.7142,2.9241,1.7901,0,0.943858
35,1.63409,1.62868,1.63949,4.7253,2.7201,2.0052,0,0.946204
40,1.8229,1.81801,1.82778,4.7272,2.4941,2.2331,0,0.94632
45,1.96747,1.96275,1.97218,4.724,2.2691,2.4549,0,0.946325
50,2.10175,2.09575,2.10776,4.7317,2.0855,2.6462,0,0.946315
55,2.12658,2.12082,2.13234,4.7328,1.8254,2.9074,0,0.946323
60,2.27544,2.27079,2.28009,4.7297,1.7302,2.9995,0,0.946327
65,2.48767,2.48309,2.49224,4.7343,1.7046,3.0297,0,0.946316
70,2.47536,2.46399,2.48672,4.7282,1.4451,3.2831,0,0.946326
75,2.28842,2.27955,2.29729,4.7305,1.1382,3.5923,0,0.946324
80,2.30596,2.30148,2.31044,4.7277,1.0461,3.6816,0,0.946332
85,2.48085,2.47559,2.48611,4.7247,1.0443,3.6804,0,0.946336
90,2.66336,2.65852,2.6682,4.7302,1.0481,3.6821,0,0.946327
95,2.84902,2.84306,2.85498,4.7274,1.048,3.6794,0,0.946328
100,3.0322,3.02543,3.03897,4.7352,1.0521,3.6831,0,0.946325
