users,mean_response,ci_low,ci_high,throughput,goodput,badput,drop,utilization
5,0.627718,0.626562,0.628873,1.159,0.8476,0.3114,0,0.231748
10,0.638396,0.637434,0.639358,2.3111,1.6765,0.6346,0,0.462283
15,0.676816,0.675839,0.677793,3.4213,2.42,1.0013,0,0.684302
20,0.784374,0.783054,0.785695,4.4043,2.8865,1.5178,0,0.880964
25,1.21439,1.21146,1.21732,4.9083,2.874,2.0343,0,0.981841
30,2.12353,2.11943,2.12764,4.8698,4.1929,0.6769,0,0.974221
35,3.03018,3.027,3.03335,4.7923,4.7158,0.0765,0,0.958857
40,3.65396,3.64084,3.66708,4.7194,2.4578,2.2616,0,0.94399
45,3.72397,3.65202,3.79593,4.6477,0.0808,4.5669,0,0.929589
50,0.0249971,-0.00191401,0.0519081,4.578,0.0029,4.5751,0,0.915645
55,0,0,0,4.5093,0.0027,4.5066,0,0.90213
60,0,0,0,4.4447,0.0027,4.442,0,0.889017
65,0,0,0,4.3803,0.0025,4.3778,0,0.876306
70,0,0,0,4.3181,0.0025,4.3156,0,0.863977
75,0,0,0,4.2589,0.0024,4.2565,0,0.851976
80,0,0,0,4.1989,0.0024,4.1965,0,0.840376
85,0,0,0,4.1436,0.0024,4.1412,0,0.829038
90,0,0,0,4.0881,0.0024,4.0857,0,0.818059
95,0,0,0,4.0348,0.0023,4.0325,0,0.80735
100,0,0,0,3.984,0.0021,3.9819,0,0.796893
