users,mean_response,ci_low,ci_high,throughput,goodput,badput,drop,utilization
5,0.655079,0.653976,0.656183,1.1504,0.8281,0.3223,0,0.230225
10,0.670438,0.669389,0.671487,2.2872,1.625,0.6622,0,0.457303
15,0.743623,0.742395,0.744851,3.3472,2.2686,1.0786,0,0.66974
20,0.954718,0.952024,0.957412,4.1855,2.582,1.6035,0,0.837662
25,1.51759,1.51405,1.52114,4.5421,3.0355,1.5066,0,0.908725
30,2.51153,2.50643,2.51662,4.3454,3.5407,0.8047,0,0.869659
35,3.04998,3.04359,3.05637,4.0534,1.9453,2.1081,0,0.810846
40,3.50916,3.49325,3.52507,3.7953,0.7293,3.066,0,0.759642
45,3.67279,3.61888,3.7267,3.5737,0.0514,3.5223,0,0.715458
50,0.829556,0.437081,1.22203,3.382,0.0007,3.3813,0,0.676849
55,0,0,0,3.2107,0.0003,3.2104,0,0.642583
60,0,0,0,3.0559,0.0004,3.0555,0,0.611885
65,0,0,0,2.9197,0.0002,2.9195,0,0.584338
70,0,0,0,2.7943,0.0002,2.7941,0,0.559297
75,0,0,0,2.6799,0.0002,2.6797,0,0.536515
80,0,0,0,2.5753,0.0001,2.5752,0,0.515605
85,0,0,0,2.4764,0.0001,2.4763,0,0.496381
90,0,0,0,2.3896,0.0001,2.3895,0,0.478631
95,0,0,0,2.3061,0.0001,2.306,0,0.462224
100,0,0,0,2.2299,0,2.2299,0,0.446893
